Value of v is: (0.367, 0.254)
(0.72384703, -0.011657482)
(0.7234361, -0.008534975)
(0.7345661, -0.010481963)
(0.7341552, -0.0073594563)
(0.7377906, -0.0042053983)
(0.73737967, -0.0010828918)
(0.6689664, -0.13404511)
(0.6685555, -0.1309226)
(0.6721909, -0.12776853)
(0.67178, -0.12464602)
(0.68290997, -0.12659302)
(0.68249905, -0.123470515)
(0.68613446, -0.12031646)
(0.68572354, -0.11719395)
(0.70415676, -0.13809489)
(0.70374584, -0.13497238)
(0.70738125, -0.13181831)
(0.70697033, -0.1286958)
(0.7181003, -0.13064282)
(0.7176894, -0.12752031)
(0.7213248, -0.124366246)
(0.7209139, -0.12124374)
(0.7286347, -0.1863762)
(0.7282238, -0.18325369)
(0.7318592, -0.18009962)
(0.7314483, -0.17697711)
(0.74257827, -0.17892413)
(0.74216735, -0.17580162)
(0.74580276, -0.17264755)
(0.74539185, -0.16952504)
(0.76382506, -0.19042598)
(0.76341414, -0.18730347)
(0.76704955, -0.1841494)
(0.76663864, -0.18102689)
(0.7777686, -0.1829739)
(0.7773577, -0.1798514)
(0.7809931, -0.17669733)
(0.7805822, -0.17357482)
(0.48541787, -0.33442518)
(0.48500702, -0.33130267)
(0.4886423, -0.32814863)
(0.48823145, -0.32502612)
(0.4993614, -0.3269731)
(0.49895054, -0.3238506)
(0.5025859, -0.32069656)
(0.502175, -0.31757405)
(0.5206082, -0.33847496)
(0.5201973, -0.33535245)
(0.5238327, -0.3321984)
(0.52342176, -0.3290759)
(0.53455174, -0.3310229)
(0.5341408, -0.32790038)
(0.53777623, -0.32474634)
(0.5373653, -0.32162383)
(0.54508615, -0.38675627)
(0.54467523, -0.38363376)
(0.54831064, -0.38047972)
(0.5478997, -0.3773572)
(0.5590297, -0.3793042)
(0.5586188, -0.3761817)
(0.5622542, -0.37302765)
(0.5618433, -0.36990514)
(0.5802765, -0.39080605)
(0.5798656, -0.38768354)
(0.583501, -0.3845295)
(0.58309007, -0.381407)
(0.59422004, -0.38335398)
(0.5938091, -0.38023147)
(0.59744453, -0.37707743)
(0.5970336, -0.37395492)
(0.52862036, -0.5069171)
(0.52820945, -0.50379467)
(0.53184485, -0.5006406)
(0.53143394, -0.49751806)
(0.5425639, -0.49946502)
(0.542153, -0.4963425)
(0.5457884, -0.49318847)
(0.5453775, -0.49006596)
(0.5638107, -0.5109669)
(0.5633998, -0.50784445)
(0.5670352, -0.5046903)
(0.5666243, -0.50156784)
(0.57775426, -0.50351477)
(0.57734334, -0.5003923)
(0.58097875, -0.49723825)
(0.58056784, -0.49411574)
(0.58828866, -0.5592482)
(0.58787775, -0.55612576)
(0.59151316, -0.5529716)
(0.59110224, -0.54984915)
